,height,width,filename,liked_count,insta_id,user_id,shortcode,tags,timestamp,museum
0,1080,1080,43375222_360744377830252_9185063361956096357_n.jpg,7,1902246522487001211,1807804349,BpmIyI4D1B7,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985478,cablausanne
1,1350,1080,42976666_185886285649615_1276219388339275027_n.jpg,15,1902247240811889123,1807804349,BpmI8l3j0Hj,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985563,cablausanne
2,1080,1080,43191815_456314964775007_4913857480498242612_n.jpg,13,1902246899840036355,1807804349,BpmI3oUDa4D,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985523,cablausanne
3,1080,1080,43913715_324577288333877_7336630694004952687_n.jpg,6,1902245902484996806,1807804349,BpmIpHdD4LG,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985404,cablausanne
4,1080,1080,44253033_301748290647731_1721608056805115343_n.jpg,6,1902246204189643054,1807804349,BpmItgcDxEu,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985440,cablausanne
5,1080,1080,43986085_280648052558882_4612243636505212754_n.jpg,10,1902245635240638180,1807804349,BpmIlOkDjbk,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985372,cablausanne
6,757,612,43461993_276883969611791_7008711456009305049_n.jpg,94,1898722834009910674,7752405849,BpZnluQFW2S,"['artbrutlausanne', 'acquisitions2012', 'yves', 'collectionartbrut', 'cablausanne', 'outsiderart']",1540565421,cablausanne
7,1351,1080,41853513_246356522683763_8394787248452531124_n.jpg,36,1880836128006334529,7742149849,BoaEn5KiehB,"['outsiderkunst', 'roywenzel', 'drawing', 'hamergalerie', 'cablausanne', 'outsiderart', 'artbrut']",1538433160,cablausanne
8,1284,1080,43169274_319247162207149_9015252757212528347_n.jpg,52,1900766697687352991,1807804349,Bpg4T2ojAaf,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540809069,cablausanne
9,1350,1080,42976666_185886285649615_1276219388339275027_n.jpg,15,1902247240811889123,1807804349,BpmI8l3j0Hj,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985563,cablausanne
10,1080,1080,43191815_456314964775007_4913857480498242612_n.jpg,13,1902246899840036355,1807804349,BpmI3oUDa4D,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985523,cablausanne
11,1080,1080,43375222_360744377830252_9185063361956096357_n.jpg,7,1902246522487001211,1807804349,BpmIyI4D1B7,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985478,cablausanne
12,1080,1080,44253033_301748290647731_1721608056805115343_n.jpg,6,1902246204189643054,1807804349,BpmItgcDxEu,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985440,cablausanne
13,1080,1080,43913715_324577288333877_7336630694004952687_n.jpg,6,1902245902484996806,1807804349,BpmIpHdD4LG,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985404,cablausanne
14,1080,1080,43986085_280648052558882_4612243636505212754_n.jpg,10,1902245635240638180,1807804349,BpmIlOkDjbk,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540985372,cablausanne
15,1080,1080,44417948_515312595545250_7850077014124945907_n.jpg,42,1901829966082738642,1807804349,BpkqEcfjgnS,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540935820,cablausanne
16,1080,1080,42711548_692611831099921_6586887638200213798_n.jpg,23,1901829704928555714,1807804349,BpkqApRjXLC,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540935789,cablausanne
17,1080,1080,44615378_332888997514407_8724986429407094462_n.jpg,27,1901829258143011240,1807804349,Bpkp6JLDxGo,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540935736,cablausanne
18,1080,1080,43913068_347317139350229_1611641906660274613_n.jpg,26,1901828953628195317,1807804349,Bpkp1tkj7n1,"['drawing', 'drawingfreemovement', 'lesartsdessinés', 'art', 'pendrawing', 'artgallery', 'humanityart', 'draw', 'lemurgrenoble', 'drawingart', 'painter', 'artcontemporain', 'streetart', 'galerieperrotin', 'arts', 'artist', 'heyheyheyteam', 'plasticien', 'pen', 'pens', 'stylo', 'stylos', 'artists', 'artlibre', 'nostyleisanewstyle', 'freemovement', 'sponsor', 'cablausanne', 'penart', 'sculptor']",1540935700,cablausanne
