,filename,museum,score,liked_count,followers,norm_score
0,10643895_351134671757704_1580281853_n.jpg,olympicmuseum,5.5,11,2,1.0
1,21689448_159316801317448_8056597609155919872_n.jpg,hermitage_lausanne,4.0,60,15,0.7272727272727273
2,38481848_182395105874863_2128305798684606464_n.jpg,olympicmuseum,3.1428571428571432,22,7,0.5714285714285715
3,42186745_148035649484120_738291455511040130_n.jpg,olympicmuseum,2.375,19,8,0.4318181818181818
4,13712125_1103474473079329_975621396_n.jpg,olympicmuseum,2.107142857142857,59,28,0.38311688311688313
5,1170973_225553564442648_1368103452_n.jpg,olympicmuseum,2.0588235294117645,35,17,0.374331550802139
6,16906467_1010298872447192_500643678902026240_n.jpg,olympicmuseum,1.947368421052632,37,19,0.3540669856459331
7,38618287_269965953825285_8351386138375618560_n.jpg,olympicmuseum,1.8571428571428568,13,7,0.3376623376623376
8,18879649_1342256859144348_8623298804193427456_n.jpg,olympicmuseum,1.830065359477124,1120,612,0.332739156268568
9,39871841_294375054691988_3759138102547841024_n.jpg,olympicmuseum,1.6,16,10,0.29090909090909095
10,42847322_320411368761624_2287772182839607564_n.jpg,olympicmuseum,1.5,12,8,0.2727272727272727
11,16906665_1435827256435480_7607798626512797696_n.jpg,olympicmuseum,1.391304347826087,32,23,0.25296442687747034
12,37342986_2108755042719062_5788875299437412352_n.jpg,olympicmuseum,1.3888888888888888,75,54,0.25252525252525254
13,36912144_250995262360007_3668360150520954880_n.jpg,olympicmuseum,1.3333333333333333,72,54,0.2424242424242424
14,37754469_323962934812361_4778770983660027904_n.jpg,olympicmuseum,1.1875,19,16,0.2159090909090909
15,29088714_985505014947203_8817810515750289408_n.jpg,olympicmuseum,1.0606060606060606,105,99,0.19283746556473827
16,41911733_699484967088299_344348360922522654_n.jpg,hermitage_lausanne,0.9534883720930232,41,43,0.1733615221987315
17,27574961_488137471581937_7108354149724454912_n.jpg,olympicmuseum,0.9365079365079364,59,63,0.17027417027417024
