,filename,museum,score,liked_count,followers,norm_score
0,11375218_907089159363516_678129540_n.jpg,olympicmuseum,0.1585949973390101,298,1879,1.0
1,22277918_119525775385271_3803298913335640064_n.jpg,mcbalausanne,0.15859030837004404,180,1135,0.9999704343198415
2,19367355_113899915811784_5526934379449810944_n.jpg,olympicmuseum,0.15857605177993528,49,309,0.999880541256706
3,15338457_1317605218261150_5666598555477868544_n.jpg,olympicmuseum,0.1585677749360614,62,391,0.9998283527008703
4,30829590_181350979345057_2166520377574948864_n.jpg,olympicmuseum,0.15841584158415842,32,202,0.9988703568343411
5,18011618_1288148681281196_6509257068640206848_n.jpg,olympicmuseum,0.15822784810126586,25,158,0.9976849885311361
6,29738750_579818255728899_1866303623873429504_n.jpg,olympicmuseum,0.1581967213114754,193,1220,0.9974887226317527
7,27881468_149016275897404_4427299318608691200_n.jpg,olympicmuseum,0.15808823529411764,43,272,0.9968046782471377
8,33020501_1065398076948102_2003871555213328384_n.jpg,elyseemusee,0.15789473684210525,24,152,0.9955845990815966
9,40337938_463065154190901_2500301910987082320_n.jpg,hermitage_lausanne,0.15789473684210525,3,19,0.9955845990815966
10,19985452_805587999604154_2249023585479819264_n.jpg,olympicmuseum,0.15789473684210525,27,171,0.9955845990815966
11,32893432_2053643588227034_7171300859702149120_n.jpg,elyseemusee,0.15789473684210525,24,152,0.9955845990815966
12,12276959_187078924968078_523123060_n.jpg,olympicmuseum,0.15789473684210525,21,133,0.9955845990815966
13,16585545_1707992389492341_3380715264311033856_n.jpg,olympicmuseum,0.15789473684210525,114,722,0.9955845990815966
14,38752908_2056187044633087_393545310711840768_n.jpg,olympicmuseum,0.15789473684210525,48,304,0.9955845990815966
15,21827685_169856466906733_6632373143698669568_n.jpg,olympicmuseum,0.15767634854771784,38,241,0.9942075802723551
16,36086217_248989049018365_960419541391769600_n.jpg,olympicmuseum,0.15755627009646306,49,311,0.9934504413129331
17,26262719_1613017195445709_4670592680303001600_n.jpg,olympicmuseum,0.1574074074074074,34,216,0.9925118071091226
18,28434785_338576019968226_4849596424595177472_n.jpg,olympicmuseum,0.15714285714285714,33,210,0.9908437200383509
19,26068962_163011737791292_5966802875249065984_n.jpg,olympicmuseum,0.15714285714285714,22,140,0.9908437200383509
20,32374049_1832851336782760_1014569784685101056_n.jpg,mudaclausanne,0.15708812260536398,41,261,0.9904985985754325
21,15251590_1870480409838806_3129677320667791360_n.jpg,olympicmuseum,0.15702479338842976,76,484,0.9900992844861057
22,22069925_1995749594003217_4010050564426563584_n.jpg,olympicmuseum,0.1568627450980392,8,51,0.9890775101987104
23,27879170_574979256182000_6354559274420535296_n.jpg,olympicmuseum,0.1568627450980392,56,357,0.9890775101987104
24,28158062_169313350386743_2928778271187271680_n.jpg,olympicmuseum,0.15671641791044774,21,134,0.9881548632675548
25,20347229_162617140951444_1084212563425624064_n.jpg,olympicmuseum,0.15668202764976955,34,217,0.9879380199795872
